257,22.56,1.13
613,22.66,1.15
970,22.52,1.13
1328,22.52,1.15
1685,22.66,1.11
2042,22.58,1.49
2399,22.58,2.02
2756,22.46,3.78
3113,22.29,8.16
3471,22.13,10.84
3828,21.97,10.83
4186,22.09,10.88
4542,21.97,10.63
4899,22.05,9
5257,22.11,8.12
5614,22.29,7.65
5971,22.29,6.94
6328,22.42,6.47
6685,22.36,6.8
7043,22.23,7.01
7400,22.27,7.92
7757,22.21,8.05
8114,22.29,8.01
8471,22.23,8.01
8828,22.36,8.04
9186,22.11,8.01
9543,22.25,8.05
9901,22.27,8.02
10257,22.15,8.02
10614,22.27,8.02
10972,22.23,8
11329,22.27,7.98
11686,22.19,8.04
12044,22.29,7.97
12400,22.19,7.99
12758,22.19,7.98
13115,22.25,7.96
13472,22.23,7.98
13830,22.19,7.96
14187,22.34,7.98
14544,22.32,7.95
14901,22.29,7.96
15258,22.32,7.98
15616,22.27,7.97
15973,22.36,7.99
16330,22.27,7.95
16688,22.23,7.98
17045,22.27,7.95
17401,22.32,7.93
17759,22.38,7.94
18116,22.32,7.95
18473,22.38,7.92
18831,22.38,7.92
19188,22.46,7.92
19546,22.46,7.92
19902,22.38,7.91
20259,22.42,7.93
20617,22.4,7.92
20974,22.38,7.91
21331,22.34,7.91
21689,22.52,7.9
22045,22.68,7.92
22403,22.52,7.91
22760,22.6,7.89
23117,22.56,7.88
23475,22.62,7.89
23832,22.66,7.91
24189,22.75,7.91
24546,22.68,7.88
24903,22.7,7.86
25261,22.87,7.9
25618,22.79,7.88
25975,22.89,7.88
26333,22.87,7.9
26689,22.99,7.85
27046,23.05,7.86
27404,23.16,7.87
27761,23.22,7.89
28119,23.16,7.87
28476,23.22,7.85
28833,23.34,7.89
29190,23.42,7.86
29547,23.36,7.88
29904,23.42,7.87
30262,23.38,7.87
30619,23.54,7.85
30977,23.54,7.87
31334,23.77,7.84
31690,23.71,7.88
32048,23.77,7.85
32405,23.79,7.84
32762,23.85,7.84
33120,23.93,7.85
33477,23.87,7.85
33835,24.2,7.82
34191,24.16,7.86
34548,24.3,7.82
34906,24.3,7.87
35263,24.34,7.82
35620,24.28,7.84
35978,24.61,7.82
36334,24.63,7.85
36691,24.71,7.84
37049,24.75,7.81
37406,24.84,7.8
37764,24.94,7.81
38121,24.98,7.81
38478,25.1,7.8
38835,25.21,7.8
39192,25.33,7.78
39549,25.35,7.83
39907,25.35,7.81
40264,25.57,7.8
40622,25.63,7.82
40978,25.82,7.77
41335,25.76,7.81
41693,26.04,7.78
42050,26.11,7.76
42407,26.19,7.78
42765,26.31,7.78
43122,26.39,7.78
43480,26.45,7.77
43836,26.54,7.77
44193,26.72,7.8
44551,26.76,7.73
44908,26.84,7.8
45265,27.01,7.76
45623,27.11,7.74
45979,27.27,7.77
46337,27.29,7.78
46694,27.44,7.74
47051,27.62,7.78
47409,27.71,7.76
47766,27.66,7.8
